,title,tmdb_id,year,budget,vote_count,vote_average,runtime,popularity,view_count,like_count,dislike_count,comment_count,film-noir,mystery,action,imax,sci-fi,romance,musical,comedy,war,crime,children,fantasy,horror,drama,western,adventure,animation,thriller,revenue,predicted,difference,percent_off
649,Terminator: Dark Fate,290859,2019,185000000.0,2850.0,6.5,128.0,139.958,45710358,413792,98904,91376,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,261119292.0,406298872,-145179580.0,56.00000000000001
6,Remember Me,23169,2010,16000000.0,2717.0,7.1,113.0,19.921,1791964,9743,250,718,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,56032889.0,73755238,-17722349.0,32.0
16,Shrek Forever After,10192,2010,165000000.0,4946.0,6.2,93.0,50.751999999999995,11646940,7833,1314,1218,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,752600867.0,467297586,285303281.0,38.0
62,Source Code,45612,2011,32000000.0,5743.0,7.3,93.0,21.705,7873037,10236,325,1243,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,147332697.0,138498919,8833778.0,6.0
1,Valentine's Day,32856,2010,52000000.0,2323.0,5.9,125.0,16.444000000000006,117902,112,14,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,216485654.0,162415429,54070225.0,25.0
414,Joy,274479,2015,60000000.0,3176.0,6.5,124.0,19.834,20223133,47113,4364,4205,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,101134059.0,138230618,-37096559.0,37.0
278,Chef,212778,2014,11000000.0,2238.0,7.1,114.0,24.271,6919491,43988,1151,2232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45967935.0,68574904,-22606969.0,49.0
19,Predators,34851,2010,40000000.0,2551.0,6.1,107.0,27.615,1731538,6327,310,984,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,127233108.0,114328526,12904582.0,10.0
259,RoboCop,97020,2014,120000000.0,4065.0,5.8,118.0,31.566,7904072,28133,2313,5211,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,242688965.0,235185001,7503964.0,3.0
304,Sin City: A Dame to Kill For,189,2014,65000000.0,2743.0,6.3,102.0,35.36400000000001,9997365,30385,1943,2790,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,39407616.0,171162651,-131755035.0,334.0
442,The Neon Demon,301365,2016,7000000.0,2714.0,6.5,118.0,26.743000000000002,11973898,49415,4709,5289,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3377430.0,65725534,-62348104.0,1846.0
175,Hansel & Gretel: Witch Hunters,60304,2013,50000000.0,5233.0,6.0,88.0,30.243000000000002,11330010,33620,2072,6327,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,226349749.0,226959186,-609437.0,0.0
50,Cowboys & Aliens,49849,2011,163000000.0,3719.0,5.5,119.0,25.939,5377809,11065,760,3660,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,174822325.0,248199483,-73377158.0,42.0
29,Scott Pilgrim vs. the World,22538,2010,60000000.0,5091.0,7.4,112.0,31.445,5602992,45974,1268,6274,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,47664559.0,223844554,-176179995.0,370.0
430,The 5th Wave,299687,2016,38000000.0,4440.0,5.9,112.0,34.593,29117824,129177,5355,12424,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,109906372.0,157144094,-47237722.0,43.0
598,The Nun,439079,2018,22000000.0,4179.0,5.8,96.0,64.36,90134766,535602,33240,37999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,365550119.0,324433118,41117001.0,11.0
217,The Wolverine,76170,2013,120000000.0,7157.0,6.4,126.0,7.336,30579475,84832,4492,12973,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,415440673.0,501607035,-86166362.0,21.0
381,Inside Out,150540,2015,175000000.0,15508.0,7.9,95.0,57.36,51009916,146935,8320,2828,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,857611174.0,804783562,52827612.0,6.0
365,Focus,256591,2015,50100000.0,5586.0,6.9,105.0,35.488,30017212,69775,4071,5335,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,153962963.0,254807061,-100844098.0,65.0
256,Enemy,181886,2013,0.0,3829.0,6.9,91.0,22.88,10602070,33553,1682,2304,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3396726.0,42485145,-39088419.0,1151.0
105,The Hunger Games,70160,2012,75000000.0,16951.0,7.1,142.0,20.374000000000002,8073631,31954,969,5971,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,691210692.0,493809669,197401023.0,28.999999999999996
501,Sing,335797,2016,75000000.0,5564.0,7.0,108.0,78.73,51790986,152292,12162,2907,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,634151679.0,477616953,156534726.0,25.0
302,Teenage Mutant Ninja Turtles,98566,2014,125000000.0,5132.0,5.9,101.0,65.984,17901720,56729,5955,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,477200000.0,319584456,157615544.0,33.0
514,Beauty and the Beast,321612,2017,160000000.0,12845.0,7.0,129.0,49.897,107596065,866264,31338,70537,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1263521126.0,980919330,282601796.0,22.0
467,Sully,363676,2016,60000000.0,4992.0,7.1,96.0,18.758,20464047,73755,2606,9160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,240797623.0,177023105,63774518.0,26.0
70,The Hangover Part II,45243,2011,80000000.0,7617.0,6.4,102.0,42.26,10023742,24002,925,4089,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,254455986.0,415178827,-160722841.0,63.0
345,Pirates of the Caribbean: Dead Men Tell No Tales,166426,2017,230000000.0,8637.0,6.6,129.0,46.32100000000001,46637834,371000,10598,28502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794861794.0,750639644,44222150.0,6.0
177,Identity Thief,109431,2013,35000000.0,2554.0,5.8,111.0,17.686,6242315,16376,793,1197,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,173965010.0,141042164,32922846.0,19.0
43,Love & Other Drugs,43347,2010,30000000.0,3372.0,7.0,112.0,30.947,4485985,19215,508,315,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,102820008.0,121016225,-18196217.0,18.0
303,The Giver,227156,2014,25000000.0,3613.0,6.5,97.0,17.588,4279806,15471,978,3319,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,66980456.0,88114169,-21133713.0,32.0
281,Maleficent,102651,2014,180000000.0,10317.0,7.1,97.0,46.03100000000001,41180104,139565,6085,12768,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,758539785.0,623310772,135229013.0,18.0
232,The Family,112205,2013,30000000.0,2108.0,6.3,111.0,31.549,1437726,9403,259,398,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,36894225.0,113466677,-76572452.0,208.0
495,Underworld: Blood Wars,346672,2016,35000000.0,2722.0,5.7,91.0,39.365,19595402,64075,4027,6849,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81093313.0,122325715,-41232402.0,51.0
536,The Dark Tower,353491,2017,60000000.0,3679.0,5.7,95.0,45.095,35257172,175026,19883,24443,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,113231078.0,237330614,-124099536.0,110.00000000000001
465,Lights Out,345911,2016,4900000.0,2793.0,6.3,81.0,19.327,36380523,108970,5888,12691,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,148868835.0,99570077,49298758.0,33.0
444,Neighbors 2: Sorority Rising,325133,2016,35000000.0,3386.0,5.8,91.0,21.842,12983790,69631,2440,2755,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108758521.0,130242494,-21483973.0,20.0
252,Lone Survivor,193756,2013,40000000.0,2896.0,7.4,121.0,30.574,23091310,58861,4208,11722,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,149295601.0,114122637,35172964.0,24.0
632,Once Upon a Time… in Hollywood,466272,2019,95000000.0,7386.0,7.5,162.0,40.053000000000004,56876959,704851,18752,45457,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,374251247.0,523625970,-149374723.0,40.0
307,American Sniper,190859,2014,58800000.0,9545.0,7.4,133.0,38.454,45371018,121664,11328,15474,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,542307423.0,394311715,147995708.0,27.0
432,How to Be Single,259694,2016,38000000.0,2497.0,6.2,110.0,16.727,3574080,8180,564,402,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,112343513.0,138942702,-26599189.0,24.0
276,X-Men: Days of Future Past,127585,2014,250000000.0,11781.0,7.5,132.0,46.196999999999996,76598824,270686,11565,43244,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,747862775.0,822088856,-74226081.0,10.0
51,Limitless,51876,2011,27000000.0,7742.0,7.2,105.0,19.918,16822,23,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,161849455.0,143055963,18793492.0,12.0
392,Star Trek Beyond,188927,2016,185000000.0,4989.0,6.7,122.0,24.635,28238482,111792,29945,24701,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,343471816.0,280659600,62812216.0,18.0
424,The Circle,339988,2016,18000000.0,3365.0,5.5,110.0,24.91800000000001,20992537,103491,4327,7137,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,20497844.0,94234069,-73736225.0,360.0
101,Hugo,44826,2011,170000000.0,5194.0,7.2,126.0,27.113000000000003,850006,4091,175,346,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,185770160.0,379677247,-193907087.0,104.0
127,The Cabin in the Woods,22970,2012,30000000.0,5346.0,6.5,95.0,34.717,10800584,21842,1717,3573,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,71041255.0,124109634,-53068379.0,75.0
188,The Host,72710,2013,44000000.0,3263.0,6.3,125.0,21.06,6305883,26207,1325,6814,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,63327201.0,147064751,-83737550.0,132.0
459,Ghostbusters,43074,2016,144000000.0,4624.0,5.4,116.0,34.673,49925882,340360,1262214,272413,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,229147509.0,415661415,-186513906.0,81.0
154,Hotel Transylvania,76492,2012,85000000.0,6206.0,6.9,91.0,39.571,12712592,26053,1978,3112,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,358375603.0,568392404,-210016801.0,59.0
118,Ghost Rider: Spirit of Vengeance,71676,2012,57000000.0,2523.0,4.9,95.0,34.64,4520764,14695,829,1734,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,132563930.0,176229409,-43665479.0,33.0
343,Warcraft,68735,2016,160000000.0,4945.0,6.3,123.0,29.035,35019374,175370,14498,32970,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,433677183.0,289163473,144513710.0,33.0
367,Pan,266647,2015,150000000.0,2106.0,6.0,111.0,18.91,21464209,71255,5336,8322,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,128388320.0,266398778,-138010458.0,107.0
539,The Emoji Movie,378236,2017,50000000.0,2123.0,5.6,86.0,71.611,25528250,111229,296080,50167,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,216909830.0,257168340,-40258510.0,19.0
617,How to Train Your Dragon: The Hidden World,166428,2019,129000000.0,3962.0,7.8,104.0,104.665,60981469,781658,20443,57681,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,517526875.0,410762187,106764688.0,21.0
425,Bridge of Spies,296098,2015,40000000.0,5165.0,7.2,141.0,23.215999999999998,11079951,20585,875,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,165478348.0,132433218,33045130.0,20.0
