youtube_id,title,channel_title,channel_id,description,release_date,tags,view_count,like_count,dislike_count,comment_count,tmdb_id,similarity_score
FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Peacock Kids,UCY26xU0-avwTJ6F6TzUZVEw,"DreamWorks Animation's Kung Fu Panda 2, in theaters May 26, 2011

http://www.facebook.com/kungfupanda
http://www.kungfupanda.com",2011-03-05T00:39:13Z,"['YouTube Kids', 'David Cross', 'Seth Rogen', 'Dustin Hoffman', 'DreamWorks Animation', 'Kung Fu Panda 2', 'DreamWorks', 'Angelina Jolie', 'Lucy Liu', 'Animation', 'trailers', 'Jack Black', 'Gary Oldman', 'Kung Fu Panda', 'Jackie Chan']",1909895,5209,299,0,49444,0.5147058823529411
TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,Peacock Kids,UCY26xU0-avwTJ6F6TzUZVEw,"Next Summer, Prepare for the Return of Awesomeness!
DreamWorks Animation's Kung Fu Panda 2 starring Jack Black is in theaters May 2011!

For more information, visit http://www.kungfupanda.com/",2010-11-08T17:35:34Z,"['Jack Black', 'Kung Fu Panda', 'YouTube Kids', 'DreamWorks Animation', 'trailers', 'Animation', 'DreamWorks']",1222855,1887,163,1,49444,0.4623552123552123
YdaMGcOyfjM,Kung Fu Panda 2 Movie Trailer Official (HD),ClevverTV,UCbdTs9fanN16NOrYSmq1JeQ,"Kung Fu Panda 2 hits theaters on May 26th, 2011.

Cast: Jack Black, Angelina Jolie, Dustin Hoffman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, James Hong, Gary Oldman, Michelle Yeoh, Jean-Claude Van Damme, Victor Garber

In KUNG FU PANDA 2, Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five.  But Po's new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu.  He must look to his past and uncover the secrets of his mysterious origins; only then will Po be able to unlock the strength he needs to succeed.

Kung Fu Panda 2 trailer courtesy Dreamworks Animation.",2010-11-08T19:32:47Z,"['Kung Fu Panda 2', 'Movie Trailer', 'Official', 'HD', 'animated', 'comedy', 'adventure', 'Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Jackie Chan', 'Seth Rogen', 'Lucy Liu', 'David Cross', 'James Hong', 'Gary Oldman', 'Michelle Yeoh', 'Jean-Claude Van Damme', 'Victor Garber']",21497849,26148,1783,4399,49444,0.7083333333333333
8peL_dRpvQA,Kung Fu Panda 2 - 2011 - Exclusive Jack Black Trailer #2,DoomedMovies,UCUeQg8EaUXSHL_zB_eTaAUw,Kung Fu Panda 2 - 2011 - Exclusive Jack Black Trailer #2,2010-12-08T15:02:50Z,"['Kung', 'Fu', 'Panda', '2011', 'Exclusive', 'Jack', 'Black', 'Trailer', '#2', 'The', 'Kaboom', 'of', 'Doom', 'dustin', 'hoffman', 'jack', 'black', 'angelina', 'jolie', 'jackie', 'chan', 'liu', 'lucy', 'seth', 'rogen']",173768,698,44,69,49444,0.24242424242424243
jNO-Ox0lJEc,Kung Fu Panda - Official® Trailer 2 [HD],TrailersPlaygroundHD,UCeR7qki1ikig6q4HwvP6dTg,"Release Date: May 26, 2011 (3D/2D theaters and IMAX 3D)

Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Po's new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.

Cast: Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, James Hong, Michelle Yeoh, Danny McBride

Studio: DreamWorks Animation
Director: Jennifer Yuh Nelson
Screenwriter: Jonathan Aibel, Glenn Berger
Genre: Animation, Adventure

Official Website: http://www.kungfupanda.com",2013-08-02T17:55:26Z,"['Kung Fu Panda', 'Kung Fu Panda Trailer', 'Kung Fu Panda 1080p', 'Kung Fu Panda Official', 'Kung Fu Panda 2008', 'Kung Fu Panda Movie', 'Animation', 'Comedy', 'John Stevenson', 'Mark Osborne', 'Jack Black', 'Dustin Hoffman', 'Angelina Jolie', 'Ian McShane', 'Jackie Chan', 'Seth Rogen', 'Lucy Liu', 'David Cross', 'Randall Duk Kim', 'James Hong', 'Michael Clarke Duncan', 'Dan Fogler', 'Official Trailer', 'Movie Trailer', 'High Definition', 'High Quality', 'HD', 'HQ', '1080p', 'Teaser', 'Trailer', 'Official', '2008', 'Movie', 'High', 'Definition', 'Quality']",16692,61,5,10,49444,0.8423645320197044
bdO0f07Vxp0,Kung Fu Panda 2 Trailer HD [Μεταγλωττισμένο],moviemonstersgr,UCGalDItA7AQeYXTM2uGtI9g,"Αυτήν τη φορά ο χνουδωτός, στρουμπουλός Πο κι οι Υπέροχοι Πέντε έχουν να αντιμετωπίσουν έναν άκρως επικίνδυνο αντίπαλο που μοιάζει ανίκητος αφού μοιάζει να έχει ανακαλύψει ένα μυστικό όπλο που είναι ικανό να αφανίσει την τέχνη του Κουνγκ Φου. Πώς θα καταφέρει ο Πο να τον νικήσει; Η απάντηση βρίσκεται κάπου μακριά...στο παρελθόν του Πο και στο μυστικό που αυτό κρύβει... Επικίνδυνη αποστολή που απαιτεί πολεμικές τέχνες σε extra large διάσταση!

Dreamworks Animation  © Copyrights",2011-02-08T20:23:29Z,"['hollywood', 'actor', 'director', 'movie awards', 'Tron', 'Trailer', 'με', 'ελληνικούς', 'υπότιτλους', 'moviemonsters', 'gr', 'movie', 'trailer', 'widescreen', 'greek', 'subtitles', 'subs', 'monsters', 'subtitled', 'HD', 'HQ', 'film', 'cinema', 'news', 'awards', 'movie film', 'movie trailer', 'horror', 'cartoon', 'fun', 'comic', 'animation', 'kunfg', 'fu', 'panda', 'superhero film', 'animation art']",32227,25,6,2,49444,0.3125
kyQKi5-k0UU,X-Men: First Class - Official Trailer (HD),X-Men Movies,UC-RakYU-f2yvmYoSVfR011w,"X-MEN FIRST CLASS -- In theaters 6/3/2011.

X-MEN: FIRST CLASS unveils the epic beginning of the X-Men saga -- and a secret history of the Cold War and our world at the brink of nuclear Armageddon. As the first class discovers, harnesses, and comes to terms with their formidable powers, alliances are formed that will shape the eternal war between the heroes and villains of the X-Men universe.",2011-04-28T18:45:08Z,"['X-Men:', 'First', 'Class', 'Trailer']",1815497,6177,167,852,49538,0.525
UrbHykKUfTM,X-Men: First Class - Official Trailer,X-Men Movies,UC-RakYU-f2yvmYoSVfR011w,"X-MEN FIRST CLASS -- In theaters 6/3/2011. 

X-MEN FIRST CLASS charts the epic beginning of the X-Men saga, and reveals a secret history of famous global events. Before mutants had revealed themselves to the world, and before Charles Xavier and Erik Lehnsherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Not archenemies, they were instead at first the closest of friends, working together with other Mutants (some familiar, some new), to prevent nuclear Armageddon. In the process, a grave rift between them opened, which began the eternal war between Magneto's Brotherhood and Professor X's X-Men.",2011-02-10T21:10:28Z,"['x-men first class', 'x-men', 'x-men movies', 'movie', 'trailer', 'James McAvoy', 'Michael Fassbender', 'Rose Byrne', 'January Jones', 'Oliver Platt', 'Kevin Bacon', 'Matthew Vaughn Bryan Singer', 'action', 'adventure', 'marvel', 'mutants', 'Charles Xavier', 'Professor X', 'Erik Lehnsherr', 'Magneto', 'Mystique', 'Beast', 'Havoc', 'Banshee', 'Riptide', 'Emma Frost', 'Raven', 'Darwin']",16384908,33322,1387,9642,49538,0.775
IkzcFAnQouk,X-Men: First Class trailer,20th Century Studios Danmark,UC6F7mQ6AzRpppgUfG3S3oUw,"X-Men: First Class følger den klassiske Marvel mytologi og kortlægger den episke begyndelse på X-Men sagaen. Før Charles Xavier og Erik Lensherr tog navnene Professor X og Magneto, var de to unge mænd, som opdagede deres kræfter for første gang. Før de blev ærkefjender, var de bedste venner, og de arbejdede sammen med andre mutanter (nogle velkendte, nogle nye) for at stoppe den største trussel verden nogensinde har kendt. I denne proces opstod en alvorlig splittelse mellem dem, hvilket var begyndelsen på den evige krig mellem Magnetos broderskab og Professor X' X-men. .

Velkommen til den officielle 20th Century Fox Danmark kanal. Vi er hjemsted for prisvindende blockbusters som Ice Age, En Flænge i Himlen, X-Men, Abernes Planet: Revolutionen, Avatar og mange flere. 

Her kan du se eksklusive trailers og klip fra vores seneste film, få et kig med bag kameraet, høre interviews og se featuretter for alle vores bedste film.
Vi vil holde dig opdateret med nyheder og ekstramateriale om alle vores film, så vær sikker på, at du abonnerer på denne kanal. 

Like os på Facebook: www.facebook.com/foxdanmark

Følg os på Twitter: https://twitter.com/foxdanmark

Følg med på Instagram: https://instagram.com/foxdanmark/",2011-05-11T07:22:40Z,"['X-Men', 'brian singer', 'matthew vaughn', 'michael fassbender', 'james mcavoy']",804,3,0,1,49538,0.4411522633744856
zRqMqatseA4,X-Men: First Class (2011) - HD Trailer,TheTrailerSpot,UCLfUmlbKGxlnEp4LD2SFhrg,"X-Men: First Class - James McAvoy, Michael Fassbender, Kevin Bacon, January Jones, and Oliver Platt

Release Date:   June 3, 2011",2011-02-11T05:48:24Z,"['X-Men: First Class', 'X-Men: First Class 2011', 'X-Men: First Class trailer', 'X-Men', 'comic book movie', 'superhero film', 'based on comic book', 'movie trailer', 'movie clip', 'movie film', 'sneak peek', 'hollywood actor', 'Matthew Vaughn', 'Bryan Singer', 'Action film', 'Drama film', 'Sci-Fi film', 'Superhero Team', '2011 trailers', '2011 films', '2011 movies', '20th Century Fox', 'James McAvoy', 'Michael Fassbender', 'Kevin Bacon', 'January Jones', 'Oliver Platt.']",3618,20,0,5,49538,0.31388329979879276
