youtube_id,title,channel_title,channel_id,description,release_date,tags,view_count,like_count,dislike_count,comment_count,tmdb_id,similarity_score
TcMBFSGVi1c,Marvel Studios' Avengers: Endgame - Official Trailer,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,"Whatever it takes. Watch the brand-new trailer for Marvel Studios’ Avengers: Endgame. In theaters April 26.

► Learn more: https://marvel.com/movies/avengers-endgame

► Subscribe to Marvel: http://bit.ly/WeO3YJ

Follow Marvel on Twitter: ‪https://twitter.com/marvel
Like Marvel on FaceBook: ‪https://www.facebook.com/Marvel

For even more news, stay tuned to:
Tumblr: ‪http://marvelentertainment.tumblr.com/
Instagram: https://www.instagram.com/marvel
Google+: ‪https://plus.google.com/+marvel
Pinterest: ‪http://pinterest.com/marvelofficial",2019-03-14T12:05:18Z,"['marvel', 'comics', 'avengers', 'avengers endgame', 'endgame', 'captain marvel', 'avengers 4', 'mcu', 'avengers endgame trailer', 'thanos', 'trailer', 'iron man', 'ronin', 'Hawkeye', 'avengers 4 trailer', 'captain america', 'avengers endgame trailer 2', 'thor', 'teaser', 'avengers: endgame', 'infinity war', 'tony stark', 'avengers endgame trailer reaction', 'marvel studios', 'endgame trailer', 'chris evans', 'avengers infinity war', '2019', 'carol danvers', 'brie larson', 'marvel movies', 'black widow', 'ant-man']",138650723,3041163,61624,264451,299534,0.3850574712643678
hA6hldpSTF8,Marvel Studios' Avengers - Official Trailer,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,"Part of the journey is the end.

► Subscribe to Marvel: http://bit.ly/WeO3YJ

Learn more: https://bit.ly/2QD3Z85

---

Follow Marvel on Twitter: ‪https://twitter.com/marvel
Like Marvel on FaceBook: ‪https://www.facebook.com/Marvel

For even more news, stay tuned to:
Tumblr: ‪http://marvelentertainment.tumblr.com/
Instagram: https://www.instagram.com/marvel
Google+: ‪https://plus.google.com/+marvel
Pinterest: ‪http://pinterest.com/marvelofficial",2018-12-07T13:01:21Z,"['marvel', 'comics', 'avengers', 'avengers 4', 'trailer', 'official', 'a4', 'mcu', 'endgame']",102260423,3280130,51631,291735,299534,0.30714285714285716
0jNvJU52LvU,Marvel Studios’ Avengers: Endgame | “To the End”,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,"“Before we’re done, we still have one promise to keep.” Marvel Studios’ #AvengersEndgame is in theaters in 10 days.

Get your tickets now: www.Fandango.com/AvengersEndgame

► Subscribe to Marvel: http://bit.ly/WeO3YJ

Follow Marvel on Twitter: ‪https://twitter.com/marvel
Like Marvel on FaceBook: ‪https://www.facebook.com/Marvel

For even more news, stay tuned to:
Tumblr: ‪http://marvelentertainment.tumblr.com/
Instagram: https://www.instagram.com/marvel
Google+: ‪https://plus.google.com/+marvel
Pinterest: ‪http://pinterest.com/marvelofficial",2019-04-16T14:00:01Z,"['marvel', 'comics', 'endgame', 'trailer', 'official', 'teaser', 'tv', 'tv spot', 'commercial', 'tickets']",33495398,1164874,10516,43650,299534,0.16195856873822975
KCSNFZKbhZE,Marvel Studios’ Avengers: Endgame | Special Look,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,"“It’s not about how much we lost, it’s about how much we have left.”

Tickets are now available for Marvel Studios’ Avengers: Endgame, in theaters April 26: https://www.fandango.com/AvengersEndgame

► Subscribe to Marvel: http://bit.ly/WeO3YJ

Follow Marvel on Twitter: ‪https://twitter.com/marvel
Like Marvel on FaceBook: ‪https://www.facebook.com/Marvel

For even more news, stay tuned to:
Tumblr: ‪http://marvelentertainment.tumblr.com/
Instagram: https://www.instagram.com/marvel
Google+: ‪https://plus.google.com/+marvel
Pinterest: ‪http://pinterest.com/marvelofficial",2019-04-02T12:00:07Z,"['marvel', 'comics', 'avengers', 'endgame', 'tickets', 'on sale', 'trailer', 'teaser', 'special look', 'iron man', 'captain america', 'captain marvel', 'thor', 'rocket', 'ant man', 'hulk', 'black widow', 'hawkeye', 'ronin', 'marvel studios', 'mcu', '2019', 'new']",28771880,776741,8133,50661,299534,0.16565040650406504
XMfuHzeiYW8,AVENGERS: ENDGAME Trailer #3 (2019) Marvel Movie HD,JoBlo Movie Trailers,UCRX7UEyE8kp35mPrgC2sosA,"AVENGERS: ENDGAME Trailer #3 (2019) Marvel Movie HD

The final official trailer for AVENGERS 4: ENDGAME is here including more footage of Hawkeye, the team gathering their Quantum Realm suits and Thor having some fun with Captain Marvel!

PLOT: Part of the journey is the end.

CAST: Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner and Paul Rudd

SUBSCRIBE for more Movie Trailers HERE: https://goo.gl/Yr3O86

Check out our specific genre movie trailers PLAYLISTS:

SUPERHERO/COMIC BOOK TRAILERS: https://goo.gl/SaiXSI
ANIMATED TRAILERS: https://goo.gl/l6bXaU
HORROR TRAILERS: https://goo.gl/Ue0mot
CELEBRITY INTERVIEWS: https://goo.gl/1YhJtU

JoBlo Movie Trailers covers all the latest movie trailers, TV spots, featurettes as well as exclusive celebrity interviews.

Check out our other channels:
TV TRAILERS: https://goo.gl/IoWfK4
MOVIE HOTTIES: https://goo.gl/f6temD
VIDEOGAME TRAILERS: https://goo.gl/LcbkaT
MOVIE CLIPS: https://goo.gl/74w5hd
JOBLO VIDEOS: https://goo.gl/n8dLt5

#AvengersEndgame",2019-04-02T12:22:06Z,"['avengers 4 trailer', 'avengers endgame trailer', 'avengers 4 endgame', 'trailer', 'marvel', 'avengers endgame', 'superhero', 'movie', 'avengers 4 2019', 'thanos', 'hawkeye', 'infinity war', 'infinity gauntlet', 'infinity war 2', 'iron man captain america', 'thanos fight', 'official trailer', 'avengers endgame trailer 3', 'captain marvel', 'joblo', 'joblo movie trailers', '2019']",1626146,11280,358,927,299534,0.24645390070921985
-iFq6IcAxBc,Marvel Studios' Avengers: Endgame - Big Game TV Spot,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,"Today, during the Big Game, fans got an exciting new look at  Marvel Studios’ AVENGERS: ENDGAME. 
 
AVENGERS: ENDGAME opens in U.S. theaters on April 26, 2019.

Learn More: https://marvel.com/movies/avengers-endgame",2019-02-03T23:31:26Z,"['Marvel Studios', 'Avengers', 'Thor', 'Black Widow', 'Hawkeye', 'Big Game', 'Captain America', 'Chris Evans', 'Iron Man', 'War Machine', 'Endgame', 'TV Spot', 'End Game', 'Rocket', 'Raccoon', 'Nebula', 'Marvel', 'MCU']",21924515,575601,8709,42589,299534,0.15617977528089888
ue80QwXMRHg,"""Thor: Ragnarok"" Official Trailer",Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,"► Subscribe to Marvel: http://bit.ly/WeO3YJ

Follow Marvel on Twitter: ‪https://twitter.com/marvel
Like Marvel on FaceBook: ‪https://www.facebook.com/Marvel

For even more news, stay tuned to:
Tumblr: ‪http://marvelentertainment.tumblr.com/
Instagram: https://www.instagram.com/marvel
Google+: ‪https://plus.google.com/+marvel
Pinterest: ‪http://pinterest.com/marvelofficial",2017-07-23T01:27:50Z,"['marvel', 'comics', 'comic books', 'nerd', 'geek', 'superhero', 'super hero', 'thor', 'ragnarok', 'trailer', 'movie', 'movies', 'filter-anomaly']",76553081,777781,31539,60594,284053,0.5238095238095238
v7MGUNV8MxU,Thor: Ragnarok Teaser Trailer [HD],Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,"This November, Thor: Ragnarok. Watch the teaser trailer now! 

► Subscribe to Marvel: http://bit.ly/WeO3YJ

Follow Marvel on Twitter: ‪https://twitter.com/marvel‬‬
Like Marvel on FaceBook: ‪http://www.facebook.com/Marvel‬‬

For even more news, stay tuned to:
Tumblr: ‪http://marvelentertainment.tumblr.com/‬‬
Instagram: ‪http://instagram.com/marvel‬‬
Google+: ‪https://plus.google.com/+marvel/‬‬
Pinterest: ‪http://pinterest.com/marvelofficial/‬‬",2017-04-10T13:00:10Z,"['marvel', 'comics', 'comic books', 'nerd', 'geek', 'superhero', 'super hero', 'thor', 'thor: raganrok', 'teaser trailer', 'official trailer', 'hela', 'hella', 'sif', 'chris hemsworth', 'loki', 'tom hiddleston', 'filter-anomaly']",51711809,606056,20501,54551,284053,0.30319148936170215
F7ayGFHGqeQ,THOR 3: Ragnarok Trailer (2017),KinoCheck International,UCLRlryMfL8ffxzrtqv0_k_w,"Official ""Thor 3: Ragnarok"" Movie Trailer 2017 | Subscribe ➤ http://abo.yt/kc | Chris Hemsworth Movie #Trailer | Release: 3 Nov 2017 | More https://KinoCheck.de/film/dze/thor-ragnarok-2017
Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.

Endcard Videos
THOR 3: Ragnarok - Team Thor Teaser Trailer 2 (2017) ➤ http://youtu.be/zilx0pnLeHA
SPIDER-MAN: Homecoming Trailer 2 (2017) ➤ http://youtu.be/uU9f_APO4qU

#Thor #Ragnarok is the new adventure movie by Taika Waititi, starring Chris Hemsworth, Tom Hiddleston and Mark Ruffalo. The script was written by Eric Pearson.

Our gaming-channel ➤ http://youtube.com/Spiele

Note | Thor: Ragnarok trailer courtesy of The Walt Disney Company. | All Rights Reserved. | KinoCheck®",2017-04-10T13:09:19Z,"['Thor Ragnarok', 'Chris Hemsworth', 'Tom Hiddleston', 'Mark Ruffalo', 'Thor', 'Ragnarok', 'Thor Ragnarok Trailer', 'Thor Ragnarok (Movie)', 'hd trailer', 'trailer 2017', 'trailer', 'deutsch', 'german', 'KinoCheck', 'trailer 2', '2017', 'Thor 3', '3:', 'Tag der Entscheidung']",12912198,108614,3512,8914,284053,0.5111111111111111
vKxjq_vZfqs,THOR : RAGNAROK Trailer 2 Music Version | Official Movie Soundtrack Theme Song,Feature Presentations,UCsCkjlegBE3Du9PgIj-1hVw,"Partially based on the song ""IN THE FACE OF EVIL"" by Magic Sword

Original Movie Copyright 2017 Marvel Studios / Walt Disney Pictures",2018-04-23T16:37:04Z,"['Movie Trailer', 'Movie', 'Trailer', 'Official', 'Movie Trailer Music', 'Movie Trailer Song', 'Trailer Music', 'Trailer Song', 'Series', 'Show', 'TV', 'Game', 'Video Game', 'Theme', 'Teaser', 'Promo', 'Film', 'Action', 'SciFi', 'Sci-Fi', 'Science Fiction', 'Comedy', 'Romance', 'Romantic', 'Funny', 'Family', 'Adventure', 'Black Panther', 'Avengers', 'Infinity War', 'Captain America', 'Iron Man', 'Black Widow', 'Hawkeye', 'Thor', 'Hulk', 'Fury', 'Spider-Man', 'Ant-Man', 'Spider', 'Parker', 'S.H.I.E.L.D.', 'Agents', 'Coulsen', 'Coulson', 'Marvel', 'Disney', 'Comic Book', 'Loki', 'Dark World', 'Ragnarok']",41134,497,8,21,284053,0.25428194993412384
