tmdb_id,weekday_released,month_released,day_released,year_released
93456,Wednesday,7,3,2013
117251,Friday,6,28,2013
107985,Friday,8,23,2013
136795,Friday,6,28,2013
57201,Wednesday,7,3,2013
157386,Friday,9,13,2013
49524,Friday,7,19,2013
138843,Friday,7,19,2013
77950,Friday,7,19,2013
76170,Thursday,7,25,2013
146216,Friday,7,19,2013
136400,Friday,8,2,2013
160588,Friday,7,26,2013
76285,Wednesday,8,7,2013
138832,Wednesday,8,7,2013
109418,Friday,7,12,2013
59859,Friday,8,16,2013
87421,Friday,9,6,2013
123553,Wednesday,8,21,2013
132363,Friday,8,16,2013
122906,Friday,11,8,2013
49047,Friday,10,4,2013
146233,Saturday,9,21,2013
96721,Friday,9,27,2013
112205,Friday,9,13,2013
152584,Friday,10,25,2013
109451,Friday,9,27,2013
109424,Friday,10,11,2013
107846,Friday,10,18,2013
133805,Friday,10,18,2013
76203,Wednesday,10,30,2013
80274,Friday,11,1,2013
76338,Friday,11,8,2013
152532,Friday,11,22,2013
203833,Friday,11,8,2013
101299,Friday,11,22,2013
57158,Friday,12,13,2013
64686,Wednesday,12,25,2013
109445,Wednesday,11,27,2013
106646,Wednesday,12,25,2013
204082,Wednesday,11,27,2013
168672,Friday,12,20,2013
116745,Wednesday,12,25,2013
152601,Friday,1,10,2014
193756,Tuesday,12,24,2013
140823,Friday,12,20,2013
110415,Friday,6,27,2014
157350,Friday,3,21,2014
181886,Friday,3,14,2014
152760,Friday,2,7,2014
137106,Friday,2,7,2014
97020,Wednesday,2,12,2014
120467,Friday,3,7,2014
157336,Friday,11,7,2014
225574,Friday,2,28,2014
53182,Friday,3,7,2014
97370,Friday,4,4,2014
136797,Friday,3,14,2014
100402,Friday,4,4,2014
86834,Friday,3,28,2014
102382,Friday,5,2,2014
157547,Thursday,4,3,2014
172385,Friday,4,11,2014
157353,Thursday,4,17,2014
193610,Friday,4,25,2014
76649,Friday,2,21,2014
195589,Friday,5,9,2014
240832,Friday,7,25,2014
127585,Friday,5,23,2014
124905,Friday,5,16,2014
212778,Friday,5,30,2014
232672,Friday,5,23,2014
198277,Friday,7,11,2014
102651,Friday,5,30,2014
188161,Friday,5,30,2014
137113,Friday,6,6,2014
177677,Friday,7,31,2015
222935,Friday,5,16,2014
187017,Friday,6,13,2014
156022,Friday,9,26,2014
82702,Friday,6,13,2014
194662,Friday,10,17,2014
85350,Friday,7,11,2014
91314,Friday,6,27,2014
244786,Friday,10,10,2014
210577,Friday,10,3,2014
119450,Friday,7,11,2014
225886,Friday,7,18,2014
244267,Friday,7,18,2014
238636,Friday,7,18,2014
118340,Friday,8,1,2014
138103,Friday,8,15,2014
184315,Friday,7,25,2014
76757,Friday,2,27,2015
98566,Friday,8,8,2014
227156,Monday,8,11,2014
189,Friday,8,22,2014
249164,Friday,8,22,2014
198663,Friday,9,19,2014
190859,Friday,1,16,2015
250546,Friday,10,3,2014
49017,Friday,10,3,2014
206487,Friday,1,9,2015
246741,Friday,2,13,2015
245891,Friday,10,24,2014
205587,Friday,10,10,2014
228150,Friday,10,17,2014
242582,Friday,10,31,2014
177572,Friday,11,7,2014
200727,Saturday,12,6,2014
264660,Friday,4,24,2015
205596,Friday,12,19,2014
131631,Friday,11,21,2014
147441,Friday,12,12,2014
100042,Friday,11,14,2014
266856,Wednesday,11,26,2014
205775,Friday,12,11,2015
135397,Friday,6,12,2015
227159,Wednesday,11,26,2014
270946,Wednesday,11,26,2014
284293,Friday,12,5,2014
116149,Friday,1,16,2015
294254,Friday,9,18,2015
122917,Wednesday,12,17,2014
227306,Thursday,12,25,2014
87093,Thursday,12,25,2014
224141,Thursday,12,25,2014
228967,,0,0,0
207703,Friday,2,13,2015
181533,Friday,12,19,2014
198184,Friday,3,6,2015
260346,Friday,1,9,2015
87101,Wednesday,7,1,2015
270303,Friday,3,27,2015
76341,Friday,5,15,2015
280092,Friday,6,5,2015
140607,Friday,12,18,2015
68735,Friday,6,10,2016
99861,Friday,5,1,2015
166426,Friday,5,26,2017
141052,Friday,11,17,2017
102899,Friday,7,17,2015
166424,Friday,8,7,2015
293660,Friday,2,12,2016
284054,Friday,2,16,2018
299537,Friday,3,8,2019
299536,Friday,4,27,2018
299534,Friday,6,28,2019
284053,Friday,11,3,2017
283995,Friday,5,5,2017
271110,Friday,5,6,2016
284052,Friday,11,4,2016
246655,Friday,5,27,2016
216015,Friday,2,13,2015
272693,Friday,2,20,2015
167073,Wednesday,11,25,2015
273248,Wednesday,12,30,2015
286565,Friday,7,24,2015
201085,Friday,10,16,2015
256591,Friday,2,27,2015
150689,Friday,3,13,2015
266647,Friday,10,9,2015
262500,Friday,3,20,2015
228161,Friday,3,27,2015
168259,Friday,4,3,2015
277685,Friday,4,17,2015
158852,Friday,5,22,2015
228205,Friday,4,10,2015
293863,Friday,4,24,2015
254128,Friday,5,29,2015
249070,Friday,8,21,2015
254470,Friday,5,15,2015
258480,Friday,1,15,2016
254320,,0,0,0
286217,Friday,10,2,2015
238713,Friday,6,5,2015
150540,Friday,6,19,2015
131634,Friday,11,20,2015
257344,Friday,7,24,2015
262504,Friday,3,18,2016
259316,Friday,11,18,2016
338952,Friday,11,16,2018
328111,Friday,7,8,2016
238615,Friday,7,10,2015
274854,Friday,10,23,2015
297761,Friday,8,5,2016
47933,Friday,6,24,2016
188927,Friday,7,22,2016
214756,Friday,6,26,2015
211672,Friday,7,10,2015
105864,Wednesday,11,25,2015
261023,Friday,9,18,2015
206647,Friday,11,6,2015
321697,Friday,10,23,2015
296099,Wednesday,7,29,2015
209112,Friday,3,25,2016
