youtube_id,title,channel_title,channel_id,description,release_date,tags,view_count,like_count,dislike_count,comment_count,tmdb_id,similarity_score
QlSAiI3xMh4,Snowden | Official Trailer [HD] | Open Road Films,Open Road Films,UClt5Bst8Ji05dZvTUdnO85g,"Academy Award®-winning director Oliver Stone, who brought Platoon, Born on the Fourth of July, Wall Street and JFK to the big screen, tackles the most important and fascinating true story of the 21st century. Snowden, the politically-charged, pulse-pounding thriller starring Joseph Gordon-Levitt and Shailene Woodley, reveals the incredible untold personal story of Edward Snowden, the polarizing figure who exposed shocking illegal surveillance activities by the NSA and became one of the most wanted men in the world. He is considered a hero by some, and a traitor by others. No matter which you believe, the epic story of why he did it, who he left behind, and how he pulled it off makes for one of the most compelling films of the year.

SUBSCRIBE: http://bit.ly/2FPqnq0",2016-04-27T13:29:40Z,"['Movies', 'Films', 'Blockbuster', 'open road', 'open road films', 'oscars', 'trailer', 'movie', 'new trailer', 'films', 'movie trailer', 'Snowden', 'edward snowden', 'snowden', 'russia', 'edward snowden interview', 'nsa', 'edward', 'surveillance', 'donald trump', 'snowden movie', 'joseph gordon levitt', 'new trailers', 'zachary quinto', 'cia employee', 'classified', 'melissa leo', 'scott eastwood']",16797309,88266,5041,10709,302401,0.2505175983436853
5OVHjPCOb3c,Snowden Official Comic-Con Trailer (2016) - Joseph Gordon-Levitt Movie,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,"Starring: Joseph Gordon-Levitt, Shailene Woodley, Scott Eastwood
Snowden Official Comic-Con Trailer (2016) - Joseph Gordon-Levitt Movie

NSA employee Edward Snowden leaks thousands of classified documents to the press.

Subscribe to TRAILERS: http://bit.ly/sxaw6h 
Subscribe to COMING SOON: http://bit.ly/H2vZUn 
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt

The Fandango MOVIECLIPS Trailers channel is your destination for the hottest new trailers the second they drop. Whether it's the latest studio release, an indie horror flick, an evocative documentary, or that new RomCom you've been waiting for, the Fandango MOVIECLIPS team is here day and night to make sure all the best new movie trailers are here for you the moment they're released.

In addition to being the #1 Movie Trailers Channel on YouTube, we deliver amazing and engaging original videos each week. Watch our exclusive Ultimate Trailers, Showdowns, Instant Trailer Reviews, Monthly MashUps, Movie News, and so much more to keep you in the know.

Here at Fandango MOVIECLIPS, we love movies as much as you!",2016-07-21T20:49:58Z,"['Snowden', 'Snowden movie', 'Snowden trailer', 'Edward Snowden', 'CIA employee', 'classified', 'documents', 'nsa', 'russia', 'john oliver', 'Joseph Gordon-Levitt', 'Scott Eastwood', 'Shailene Woodley', 'Nicolas Cage', 'Timothy Olyphant', 'Zachary Quinto', 'Melissa Leo', 'oliver stone', 'comic con 2016', 'comic con trailer', 'snowden comic con trailer', 'hd', 'fandango', 'movieclips', 'official', 'movie trailers', 'trailer', 'trailers', 'new trailers', 'hot new trailers', 'new trailer', 'movieclips fandango', 'movieclips trailers', '2016', 'open road']",2512851,17749,517,1616,302401,0.24399717514124294
uMCgjrq1Ohk,Snowden Official Teaser Trailer (2015) - Joseph Gordon-Levitt Drama HD,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,"Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://goo.gl/dHs73
Follow us on TWITTER: http://bit.ly/1ghOWmt
Snowden Official Teaser Trailer (2015) - Joseph Gordon-Levitt Drama HD

CIA employee Edward Snowden leaks thousands of classified documents to the press.

The Movieclips Trailers channel is your destination for the hottest new trailers the second they drop. Whether it's the latest studio release, an indie horror flick, an evocative documentary, or that new RomCom you've been waiting for, the Movieclips team is here day and night to make sure all the best new movie trailers are here for you the moment they're released.

In addition to being the #1 Movie Trailers Channel on YouTube, we deliver amazing and engaging original videos each week. Watch our exclusive Ultimate Trailers, Showdowns, Instant Trailer Reviews, Monthly MashUps, Movie News, and so much more to keep you in the know.

Here at Movieclips, we love movies as much as you!",2015-06-30T17:09:38Z,"['movieclips', 'movie clips', 'movieclipstrailers', 'new trailers', 'trailers HD', 'hd', 'trailers', 'trailer', '2015', 'official', 'HD', 'Snowden', 'Snowden movie', 'Snowden trailer', 'Edward Snowden', 'CIA employee', 'classified', 'documents', 'nsa', 'russia', 'john oliver', 'Joseph Gordon-Levitt', 'Scott Eastwood', 'Shailene Woodley', 'Nicolas Cage', 'Timothy Olyphant', 'Zachary Quinto', 'Melissa Leo', 'oliver stone', 'jslewis']",2786705,9755,1756,1612,302401,0.22654690618762474
udIUorlkN2Y,Snowden (2016) Primer Tráiler Oficial Español,Trailers In Spanish,UCkpS96fmTFa8gGVWJx2uVAA,"Snowden (2016) Primer Tráiler Oficial Español
14 de octubre de 2016
Edward Snowden deja su trabajo en una empresa contratista para unirse en 2003 al ejército norteamericano. Pero, tras un aparatoso accidente, se ve obligado a dejarlo. Así acabará trabajando en la NSA y en la CIA, puestos que también abandona. 
Sin embargo, gracias a contar con información privilegiada, Snowden hace una filtración de documentos que relevan importante información sobre la NSA. Tras ser publicado por la prensa de todo el mundo, se produce un revuelo inmediato, pues estos archivos sacaban a la luz una trama de espionaje masivo por parte del Gobierno de Estados Unidos. 
¡ Subscribete ya para ver los nuevos y mejores trailers, extractos de pelis y mas videos en exclusividad !",2016-08-31T11:46:13Z,"['Snowden', 'trailer', '2016', 'español', 'trailer español', 'pelicula', 'pelicula español']",921782,13465,125,147,302401,0.0775375939849624
tysIV6t54L4,President Obama on Edward Snowden,The Daily Conversation,UCWQ9ZFFhEqUZ0r1IspnBm6Q,"President Obama specifically addressed Edward Snowden and the charges against the former NSA contractor accused of stealing thousands of classified documents and leaking them to the reporter Glenn Greenwald.
Subscribe to The Daily Conversation
https://www.youtube.com/TheDailyConversation
Facebook
http://www.facebook.com/thedailyconversation
Google+
https://plus.google.com/100134925804523235350/posts
Twitter
http://www.twitter.com/thedailyconvo",2013-12-20T20:23:20Z,"['Edward Snowden', 'Barack Obama (US President)', 'NSA', 'discusses', 'press conference', 'Election', 'Congress', 'pardon', 'amnesty', 'Snowden', 'Glenn Greenwald', 'United States National Security Agency (Organization)', 'US', 'USA', 'United States Of America (Country)', 'President Obama', 'news', 'politics', 'good', 'cnn', 'breaking', 'important', 'christmas', 'Intelligence', 'foreign policy', 'russia', 'talk', 'press', 'conference', 'Government', 'Reform', 'conservative', 'liberal', 'progressive', 'democrat', 'republican', 'speech']",339665,1265,2617,488,302401,0.21957671957671956
5ZcGdlBWMH4,SNOWDEN Trailer German Deutsch (2016),KinoCheck,UCOL10n-as9dXO2qtjjFUQbQ,"Offizieller ""Snowden"" Movie Trailer Deutsch German 2016 | Abonnieren ➤ http://abo.yt/kc | (OT: Snowden) Movie #Trailer | Kinostart: 22 Sep 2016 | Filminfos https://KinoCheck.de/film/40d/snowden-2016
Edward Snowden (Joseph Gordon-Levitt) arbeitet als Computer-Profi für einen Subunternehmer der NSA. Doch weder seine langjährige Freundin Lindsay Mills (Shailene Woodley) noch sein Kollege (Keith Stanfield) ahnen, wohin Snowden geht, als er von einem Tag auf den anderen verschwindet.  Snowden trifft sich in Hong Kong mit der Dokumentarfilmerin Laura Poitras (Melissa Leo) sowie dem Journalisten Glenn Greenwald (Zachary Quinto) und dem britischen Korrespondenten Ewen MacAskill (Tom Wilkinson). Er hat sich vorgenommen, mit der Veröffentlichung von streng geheimen Dokumenten das ganze Ausmaß der Überwachung amerikanischer Geheimdienste offenzulegen, auch wenn er seine eigene Person dadurch in Gefahr bringt. Es dauert nicht lange, bis die CIA (Nicolas Cage, Timothy Olyphant) erfährt, wer die Quelle ist, die das geheime Material an die Öffentlichkeit durchsickern lässt.

Endcard Videos
ROGUE ONE: Star Wars deutscher Trailer ➤ http://youtu.be/_odBBmHRPqM
DEEPWATER HORIZON Trailer German Deutsch (2016) ➤ http://youtu.be/TSUctGqy6yA
THE DIVISION GameCheck Trailer ➤ http://youtu.be/Ym-jdbqttnc

#Snowden leihen/kaufen ➤ http://amzo.in/s/Snowden
Die aktuell beliebtesten Filme ➤ http://amzo.in/bestmovies
Die meist gewünschten Filme ➤ http://amzo.in/moviereserve

Die neuesten Game Trailers ➤ http://youtube.com/Spiele

Note | Snowden german trailer courtesy of Universum Film GmbH. | All Rights Reserved. | http://amzo.in sind Affiliate Links. Bei einem Kauf ändert sich für euch nichts, aber ihr unterstützt dadurch unsere Arbeit. | KinoCheck®",2016-05-25T10:00:00Z,"['Snowden', 'Shailene Woodley', 'Joseph Gordon-Levitt', 'Scott Eastwood', 'Snowden Trailer', 'Snowden Trailer German', 'Snowden Trailer Deutsch', 'Snowden (Film)', 'hd trailer', 'trailer deutsch', 'trailer german', 'trailer 2016', 'trailer', 'deutsch', 'german', 'KinoCheck', 'trailer 2', '2016']",771597,5010,114,295,302401,0.17943262411347516
GQR5zsLHbYw,The Nice Guys - Main Trailer [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,"In theaters May 20, 2016! 
http://www.theniceguysmovie.com 
https://www.facebook.com/TheNiceGuysMovie/

“The Nice Guys” takes place in 1970s Los Angeles, when down-on-his-luck private eye Holland March (Gosling) and hired enforcer Jackson Healy (Crowe) must work together to solve the case of a missing girl and the seemingly unrelated death of a porn star.  During their investigation, they uncover a shocking conspiracy that reaches up to the highest circles of power.

“The Nice Guys” is scheduled for release in theaters on May 20, 2016, and will be distributed in North America by Warner Bros. Pictures, a Warner Bros. Entertainment Company.",2016-03-22T22:32:03Z,"['the nice guys', 'nice guys', 'russell crowe', 'ryan gosling', 'matt bomer', 'kim basinger', 'shane black', 'action', 'adventure', 'comedy', 'detectives', 'warner bros', 'wb', 'trailer']",8936123,21400,694,1165,290250,0.4139194139194139
m_GXC1ADPb8,"The Nice Guys Official Trailer #3 (2016) - Ryan Gosling, Russell Crowe Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,"Subscribe to TRAILERS: http://bit.ly/sxaw6h 
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt
The Nice Guys Official Trailer #3 (2016) - Ryan Gosling, Russell Crowe Movie HD

A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.

The Fandango MOVIECLIPS Trailers channel is your destination for the hottest new trailers the second they drop. Whether it's the latest studio release, an indie horror flick, an evocative documentary, or that new RomCom you've been waiting for, the Fandango MOVIECLIPS team is here day and night to make sure all the best new movie trailers are here for you the moment they're released.

In addition to being the #1 Movie Trailers Channel on YouTube, we deliver amazing and engaging original videos each week. Watch our exclusive Ultimate Trailers, Showdowns, Instant Trailer Reviews, Monthly MashUps, Movie News, and so much more to keep you in the know.

Here at Fandango MOVIECLIPS, we love movies as much as you!",2016-05-05T17:46:32Z,"['movieclips', 'movie clips', 'movieclipstrailers', 'new trailers', 'trailers HD', 'hd', 'trailers', 'trailer', '2016', 'official', 'HD', 'the nice guys', 'the nice guys movie', 'the nice guys trailer', 'crime', 'mystery', 'thriller', 'shane black', 'ryan gosling', 'matt bomer', 'russell crowe', 'private eye', 'investigator', 'porn star', 'suicide', '1970s', 'los angeles', 'conspiracy', 'kim basinger', 'keith david']",1153242,6845,126,322,290250,0.2865485300040274
TGic0zh8LA4,"The Nice Guys Official Trailer #1 (2016) - Ryan Gosling, Russell Crowe Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,"Subscribe to TRAILERS: http://bit.ly/sxaw6h 
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt
The Nice Guys Official Trailer #1 (2016) - Ryan Gosling, Russell Crowe Movie HD

A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.

The Fandango MOVIECLIPS Trailers channel is your destination for the hottest new trailers the second they drop. Whether it's the latest studio release, an indie horror flick, an evocative documentary, or that new RomCom you've been waiting for, the Fandango MOVIECLIPS team is here day and night to make sure all the best new movie trailers are here for you the moment they're released.

In addition to being the #1 Movie Trailers Channel on YouTube, we deliver amazing and engaging original videos each week. Watch our exclusive Ultimate Trailers, Showdowns, Instant Trailer Reviews, Monthly MashUps, Movie News, and so much more to keep you in the know.

Here at Fandango MOVIECLIPS, we love movies as much as you!",2015-12-07T16:21:10Z,"['movieclips', 'movie clips', 'movieclipstrailers', 'new trailers', 'trailers HD', 'hd', 'trailers', 'trailer', '2015', 'official', 'HD', 'the nice guys', 'the nice guys movie', 'the nice guys trailer', 'crime', 'mystery', 'thriller', 'shane black', 'ryan gosling', 'matt bomer', 'russell crowe', 'private eye', 'investigator', 'porn star', 'suicide', '1970s', 'los angeles', 'conspiracy', 'kim basinger']",903330,4930,110,259,290250,0.2865485300040274
tLrqtTik11E,"The Nice Guys Official Red Band Trailer #1 (2016) - Ryan Gosling, Russell Crowe Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,"Subscribe to TRAILERS: http://bit.ly/sxaw6h 
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt
The Nice Guys Official Red Band Trailer #1 (2016) - Ryan Gosling, Russell Crowe Movie HD

A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.

The Fandango MOVIECLIPS Trailers channel is your destination for the hottest new trailers the second they drop. Whether it's the latest studio release, an indie horror flick, an evocative documentary, or that new RomCom you've been waiting for, the Fandango MOVIECLIPS team is here day and night to make sure all the best new movie trailers are here for you the moment they're released.

In addition to being the #1 Movie Trailers Channel on YouTube, we deliver amazing and engaging original videos each week. Watch our exclusive Ultimate Trailers, Showdowns, Instant Trailer Reviews, Monthly MashUps, Movie News, and so much more to keep you in the know.

Here at Fandango MOVIECLIPS, we love movies as much as you!",2015-12-04T18:36:02Z,"['movieclips', 'movie clips', 'movieclipstrailers', 'new trailers', 'trailers HD', 'hd', 'trailers', 'trailer', '2015', 'official', 'HD', 'the nice guys', 'the nice guys movie', 'the nice guys trailer', 'red band trailer', 'crime', 'mystery', 'thriller', 'shane black', 'ryan gosling', 'matt bomer', 'russell crowe', 'private eye', 'investigator', 'porn star', 'suicide', '1970s', 'los angeles', 'conspiracy', 'kim basinger']",335327,6434,84,300,290250,0.25993091537132984
